Date,Hour,Kumamoto,Aso,Amakusa
2022/01/08,20,7.7,0.7,8.6
2022/01/08,21,7,-1.1,8.2
2022/01/08,22,6.8,-1,9.9
2022/01/08,23,6.7,-0.9,9.7
2022/01/08,24,6.3,-1.2,9.6
2022/01/09,1,5.6,-1.5,9.3
2022/01/09,2,5,-1.7,9.3
2022/01/09,3,5.5,-2.1,9.7
2022/01/09,4,4.7,-2.2,9.4
2022/01/09,5,4.5,-2.4,9.5
2022/01/09,6,3.9,-2.8,9.1
2022/01/09,7,3.8,-3.4,8.8
2022/01/09,8,3.7,-2.7,9.2
2022/01/09,9,6.1,0.1,10.4
2022/01/09,10,8.4,3.4,11.7
2022/01/09,11,9.8,7.2,12.6
2022/01/09,12,11.5,8.9,13.2
2022/01/09,13,12.4,10.1,12.1
2022/01/09,14,12.1,9.3,11.8
2022/01/09,15,12.3,9.2,11.6
2022/01/09,16,11.3,8.2,11.4
2022/01/09,17,10.8,7.6,11.1
2022/01/09,18,10.3,6.1,10.7
2022/01/09,19,10,6.2,10.6
2022/01/09,20,9.4,5.6,9.6
2022/01/09,21,8.1,4.1,8.6
2022/01/09,22,7.4,2.7,8.8
2022/01/09,23,6.8,2.4,8.6
2022/01/09,24,5.7,1.7,7.6
2022/01/10,1,4.8,-0.2,7
2022/01/10,2,4,-1,6.9
2022/01/10,3,3.6,-1.5,7.2
2022/01/10,4,2.5,-2,7.1
2022/01/10,5,2.5,-3,6.1
2022/01/10,6,1.6,-3.4,7.4
2022/01/10,7,1.8,-3.8,7.4
2022/01/10,8,1.3,-3.5,7.3
2022/01/10,9,3.5,-1.8,8.9
2022/01/10,10,5.7,2.2,11
2022/01/10,11,9,6.6,11.7
2022/01/10,12,11.2,9.7,12
2022/01/10,13,12,10.8,13.1
2022/01/10,14,12.6,12.3,13.4
2022/01/10,15,12.5,12.1,13.2
2022/01/10,16,12.5,10.6,13.4
2022/01/10,17,11.8,8.1,12.1
2022/01/10,18,10.1,5.6,10.1
2022/01/10,19,8.7,2.8,9
2022/01/10,20,7.9,1.5,9.2
2022/01/10,21,7.2,-0.1,8.7
2022/01/10,22,6.6,-0.5,8.8
2022/01/10,23,5.6,-0.9,10
2022/01/10,24,5.5,-0.2,10
